 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   0.000e+00    -3.34783e-20    -1.36259e-18    -9.32727e-01     7.19268e+00     1.73611e+01     2.17609e+00     5.04938e+07    -1.46962e-16     -1.85555e-12     -2.92668e-12     -7.64060e-13     -9.11841e-12     -2.28202e-11     -1.44774e-11     -1.95120e-11     -2.12481e-11     2.00342e+00     3.45924e-01     6.34315e-01     8.12736e-06     1.16293e-05     3.24879e-06     5.37294e-03     1.14094e-07     7.38762e-03     5.29255e-04     1.90327e-05     2.39111e-03     4.12198e-05     7.73902e-04     6.83352e-05     8.75104e-04     7.84455e-06     4.36120e-04     5.79730e-06     1.03688e-04     4.41640e-06     7.02236e-05     4.63837e-08     3.66115e-06     4.37166e-07     2.13569e-05     1.56111e-05     1.51864e-03     4.11083e-06     8.75311e-05
   5.000e-04     1.33238e-08     1.13852e-07     4.69400e+00     7.19267e+00     1.73610e+01     2.17606e+00     5.04940e+07     5.29852e-08      6.68993e-04      1.05519e-03      2.75468e-04      3.28822e-03      8.22293e-03      5.22368e-03      7.03467e-03      7.66263e-03     2.00341e+00     3.45955e-01     6.34300e-01     8.12760e-06     1.16178e-05     3.24735e-06     5.37056e-03     1.13977e-07     7.38374e-03     5.29029e-04     1.90206e-05     2.38935e-03     4.11697e-05     7.73050e-04     6.82521e-05     8.74040e-04     7.83501e-06     4.35590e-04     5.79025e-06     1.03562e-04     4.41104e-06     7.01382e-05     4.63273e-08     3.65670e-06     4.36635e-07     2.13309e-05     1.55921e-05     1.51388e-03     4.10583e-06     8.74247e-05
   1.000e-03     1.06531e-07     9.08380e-07     7.78562e+00     7.19266e+00     1.73610e+01     2.17605e+00     5.04941e+07     1.61063e-07      2.03359e-03      3.20764e-03      8.37345e-04      9.99893e-03      2.49730e-02      1.58989e-02      2.13832e-02      2.33021e-02     2.00340e+00     3.45969e-01     6.34284e-01     8.12963e-06     1.16222e-05     3.24740e-06     5.37086e-03     1.14028e-07     7.38418e-03     5.28880e-04     1.90217e-05     2.38945e-03     4.11725e-05     7.73159e-04     6.82567e-05     8.74098e-04     7.83554e-06     4.35619e-04     5.79064e-06     1.03569e-04     4.41133e-06     7.01429e-05     4.63304e-08     3.65694e-06     4.36664e-07     2.13324e-05     1.55932e-05     1.51428e-03     4.10611e-06     8.74305e-05
   1.500e-03     3.59507e-07     3.06503e-06     8.01870e+00     7.19265e+00     1.73610e+01     2.17602e+00     5.04941e+07     3.61017e-07      4.55808e-03      7.18927e-03      1.87706e-03      2.24081e-02      5.59423e-02      3.56394e-02      4.79253e-02      5.22329e-02     2.00337e+00     3.45991e-01     6.34249e-01     8.13244e-06     1.16281e-05     3.24847e-06     5.37293e-03     1.14095e-07     7.38802e-03     5.28776e-04     1.90323e-05     2.39103e-03     4.12155e-05     7.73854e-04     6.83280e-05     8.75012e-04     7.84373e-06     4.36074e-04     5.79669e-06     1.03678e-04     4.41594e-06     7.02162e-05     4.63788e-08     3.66077e-06     4.37121e-07     2.13547e-05     1.56095e-05     1.51773e-03     4.11040e-06     8.75219e-05
   2.000e-03     8.52108e-07     7.26422e-06     8.14363e+00     7.19264e+00     1.73610e+01     2.17596e+00     5.04943e+07     6.41710e-07      8.10195e-03      1.27778e-02      3.33712e-03      3.98166e-02      9.93628e-02      6.33177e-02      8.51455e-02      9.28017e-02     2.00333e+00     3.46037e-01     6.34197e-01     8.13624e-06     1.16296e-05     3.24886e-06     5.37396e-03     1.14118e-07     7.39022e-03     5.28493e-04     1.90377e-05     2.39184e-03     4.12362e-05     7.74180e-04     6.83622e-05     8.75450e-04     7.84766e-06     4.36293e-04     5.79960e-06     1.03730e-04     4.41815e-06     7.02514e-05     4.64021e-08     3.66260e-06     4.37340e-07     2.13654e-05     1.56173e-05     1.51912e-03     4.11246e-06     8.75657e-05
   2.500e-03     1.66410e-06     1.41852e-05     8.24054e+00     7.19262e+00     1.73609e+01     2.17589e+00     5.04947e+07     1.00252e-06      1.26575e-02      1.99604e-02      5.21487e-03      6.21763e-02      1.55083e-01      9.88405e-02      1.32915e-01      1.44866e-01     2.00328e+00     3.46101e-01     6.34130e-01     8.14125e-06     1.16296e-05     3.24887e-06     5.37448e-03     1.14130e-07     7.39163e-03     5.28050e-04     1.90404e-05     2.39225e-03     4.12463e-05     7.74343e-04     6.83790e-05     8.75665e-04     7.84958e-06     4.36400e-04     5.80102e-06     1.03755e-04     4.41924e-06     7.02686e-05     4.64134e-08     3.66350e-06     4.37447e-07     2.13706e-05     1.56211e-05     1.51969e-03     4.11347e-06     8.75872e-05
   3.000e-03     2.87521e-06     2.45061e-05     8.31972e+00     7.19259e+00     1.73608e+01     2.17580e+00     5.04953e+07     1.44331e-06      1.82232e-02      2.87335e-02      7.51034e-03      8.94664e-02      2.23013e-01      1.42151e-01      1.91155e-01      2.08341e-01     2.00322e+00     3.46179e-01     6.34049e-01     8.14747e-06     1.16293e-05     3.24880e-06     5.37498e-03     1.14142e-07     7.39304e-03     5.27497e-04     1.90428e-05     2.39257e-03     4.12530e-05     7.74460e-04     6.83902e-05     8.75808e-04     7.85087e-06     4.36471e-04     5.80197e-06     1.03772e-04     4.41996e-06     7.02801e-05     4.64210e-08     3.66410e-06     4.37519e-07     2.13741e-05     1.56237e-05     1.51998e-03     4.11414e-06     8.76016e-05
   3.500e-03     4.56507e-06     3.89041e-05     8.38667e+00     7.19256e+00     1.73607e+01     2.17570e+00     5.04960e+07     1.96408e-06      2.47992e-02      3.90961e-02      1.02244e-02      1.21671e-01      3.03068e-01      1.93193e-01      2.59793e-01      2.83144e-01     2.00315e+00     3.46274e-01     6.33952e-01     8.15484e-06     1.16286e-05     3.24860e-06     5.37539e-03     1.14152e-07     7.39440e-03     5.26824e-04     1.90446e-05     2.39281e-03     4.12574e-05     7.74541e-04     6.83975e-05     8.75902e-04     7.85170e-06     4.36518e-04     5.80259e-06     1.03783e-04     4.42043e-06     7.02876e-05     4.64260e-08     3.66449e-06     4.37565e-07     2.13764e-05     1.56254e-05     1.52012e-03     4.11458e-06     8.76109e-05
   4.000e-03     6.81322e-06     5.80546e-05     8.44466e+00     7.19253e+00     1.73606e+01     2.17557e+00     5.04969e+07     2.56450e-06      3.23816e-02      5.10405e-02      1.33564e-02      1.58751e-01      3.95098e-01      2.51874e-01      3.38703e-01      3.69134e-01     2.00305e+00     3.46384e-01     6.33842e-01     8.16337e-06     1.16270e-05     3.24819e-06     5.37555e-03     1.14157e-07     7.39548e-03     5.26017e-04     1.90454e-05     2.39291e-03     4.12590e-05     7.74572e-04     6.84001e-05     8.75935e-04     7.85200e-06     4.36534e-04     5.80281e-06     1.03787e-04     4.42060e-06     7.02903e-05     4.64277e-08     3.66463e-06     4.37582e-07     2.13772e-05     1.56260e-05     1.52015e-03     4.11473e-06     8.76142e-05
   4.500e-03     9.69896e-06     8.26298e-05     8.49582e+00     7.19249e+00     1.73605e+01     2.17543e+00     5.04979e+07     3.24478e-06      4.09734e-02      6.45699e-02      1.69087e-02      2.00698e-01      4.99021e-01      3.18140e-01      4.27815e-01      4.66231e-01     2.00295e+00     3.46509e-01     6.33716e-01     8.17307e-06     1.16251e-05     3.24765e-06     5.37561e-03     1.14160e-07     7.39652e-03     5.25093e-04     1.90458e-05     2.39295e-03     4.12595e-05     7.74584e-04     6.84010e-05     8.75946e-04     7.85210e-06     4.36540e-04     5.80288e-06     1.03788e-04     4.42066e-06     7.02912e-05     4.64283e-08     3.66467e-06     4.37588e-07     2.13775e-05     1.56262e-05     1.52014e-03     4.11479e-06     8.76154e-05
